date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:32:20	59225/59225	---M--	200	added ('OK')	image/gif	etag:%226e4178-e759-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/gimnasio.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/gimnasio.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fotos.htm)
18:32:24	89697/89697	---M--	200	added ('OK')	image/gif	etag:%226e4197-15e61-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/frente.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/frente.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fotos.htm)
18:32:27	319541/319541	---M--	200	added ('OK')	image/gif	etag:%226e41ae-4e035-3eae2b4be2280%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/titulo.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/titulo.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/princi.htm)
18:32:27	4994/4994	---M--	200	added ('OK')	image/gif	etag:%226e417f-1382-3eae2b4cd64c0%22	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/escudo.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/escudo.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/fotos.htm)
18:32:27	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:27%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/filelist.xml	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/filelist.2a.delayed	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2.htm)
18:32:28	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:28%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/editdata.mso	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/editdata.mso	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2.htm)
18:32:28	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:28%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/image001.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/image001.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2.htm)
18:32:28	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:28%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/image002.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/image002.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2.htm)
18:32:28	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:28%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/image003.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/image003.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2.htm)
18:32:28	287/287	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202020%2021:32:28%20GMT	http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/image004.gif	C:/Users/Jonathan/Desktop/asd/www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2_archivos/image004.gif	(from http://www.baitec.buenosaires.gob.ar/areas/educacion/escuelas/escuelas/media/tecnica/tecnica12/primaria2.htm)
